INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (1, N'Arroz', CAST(500.00 AS Decimal(9, 2)), N'Gramos', CAST(1.35 AS Decimal(9, 2)), N'Legumbre')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (2, N'Leche', CAST(1.00 AS Decimal(9, 2)), N'Litros', CAST(1.25 AS Decimal(9, 2)), N'Lacteo')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (3, N'Limón', CAST(1.00 AS Decimal(9, 2)), N'Unidad', CAST(0.30 AS Decimal(9, 2)), N'Fruta')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (4, N'Canela', CAST(1.00 AS Decimal(9, 2)), N'Unidad', CAST(0.30 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (5, N'Canela en polvo', CAST(50.00 AS Decimal(9, 2)), N'Gramos', CAST(0.50 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (6, N'Azucar', CAST(500.00 AS Decimal(9, 2)), N'Gramos', CAST(1.00 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (7, N'Mantequilla', CAST(250.00 AS Decimal(9, 2)), N'Gramos', CAST(1.75 AS Decimal(9, 2)), N'Lacteo')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (8, N'Macarrones', CAST(500.00 AS Decimal(9, 2)), N'Gramos', CAST(0.85 AS Decimal(9, 2)), N'Pasta')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (9, N'Carne picada', CAST(500.00 AS Decimal(9, 2)), N'Gramos', CAST(3.45 AS Decimal(9, 2)), N'Animal')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (10, N'Tomate frito', CAST(400.00 AS Decimal(9, 2)), N'Gramos', CAST(0.35 AS Decimal(9, 2)), N'Salsa')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (11, N'Cebolla', CAST(1.00 AS Decimal(9, 2)), N'Unidad', CAST(0.20 AS Decimal(9, 2)), N'Hortaliza')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (12, N'Ajo', CAST(1.00 AS Decimal(9, 2)), N'Unidad', CAST(0.20 AS Decimal(9, 2)), N'Hortaliza')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (13, N'Oregano', CAST(50.00 AS Decimal(9, 2)), N'Gramos', CAST(0.50 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (14, N'Sal', CAST(500.00 AS Decimal(9, 2)), N'Gramos', CAST(1.00 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (15, N'Pimienta', CAST(50.00 AS Decimal(9, 2)), N'Gramos', CAST(3.15 AS Decimal(9, 2)), N'Especia')
INSERT INTO [dbo].[Ingrediente] ([Id_ingrediente], [nombre], [cantidad], [unidad], [precio], [tipo]) VALUES (16, N'Aceite de oliva', CAST(1000.00 AS Decimal(9, 2)), N'Mililitros', CAST(3.70 AS Decimal(9, 2)), N'Salsa')
